chinese,pinyin
我们偶尔会一起出去玩儿，有时候看电影，有时候踢足球。,"Wǒmen ǒu'ěr huì yìqǐ chūqù wánr, yǒu shíhou kàn diànyǐng, yǒu shíhou tī zúqiú."
老师再次提醒同学们考试以前一定要认真复习。,Lǎoshī zàicì tíxǐng tóngxuémen kǎoshì yǐqián yídìng yào rènzhēn fùxí.
再次回到童年时生活的地方，我感到既熟悉又感动。,"Zàicì huídào tóngnián shí shēnghuó de dìfang, wǒ gǎndào jì shúxī yòu gǎndòng."
他老说要跟同学们多交流，可是从来不参加班级活动。,"Tā lǎo shuō yào gēn tóngxuémen duō jiāoliú, kěshì cónglái bù cānjiā bānjí huódòng."
大家的工作都很忙，你老想让别人照顾你，是不可能的。,"Dàjiā de gōngzuò dōu hěn máng, nǐ lǎo xiǎng ràng biéren zhàogù nǐ, shì bù kěnéng de."
真对不起，我不是故意的，你千万别生气。,"Zhēn duìbuqǐ, wǒ bú shì gùyì de, nǐ qiānwàn bié shēngqì."
他故意提高声音，好让大家都能听见。,"Tā gùyì tígāo shēngyīn, hǎo ràng dàjiā dōu néng tīngjiàn."
我想练习中文，咱们互相学习，互相帮助，怎么样？,"Wǒ xiǎng liànxí Zhōngwén, zánmen hùxiāng xuéxí, hùxiāng bāngzhù, zěnmeyàng?"
大家都是同学，应该互相关心，互相照顾。,"Dàjiā dōu shì tóngxué, yīnggāi hùxiāng guānxīn, hùxiāng zhàogù."
国家之间应该相互尊重，相互交流，共同发展。,"Guójiā zhījiān yīnggāi xiānghù zūnzhòng, xiānghù jiāoliú, gòngtóng fāzhǎn."
随着信息技术的发展，不同语言的相互影响越来越普遍。,"Suízhe xìnxī jìshù de fāzhǎn, bùtóng yǔyán de xiānghù yǐngxiǎng yuèláiyuè pǔbiàn."
有些打折的商品尽管便宜，质量却不能让人满意。,"Yǒuxiē dǎzhé de shāngpǐn jǐnguǎn piányi, zhìliàng què bùnéng ràng rén mǎnyì."
她长得很像她的姐姐，但两个人的性格却完全不同。,"Tā zhǎng de hěn xiàng tā de jiějie, dàn liǎng ge rén de xìnggé què wánquán bùtóng."
你可以加一点儿糖，味道也许不错。,"Nǐ kěyǐ jiā yìdiǎnr táng, wèidao yěxǔ búcuò."
现在不愿意花时间练习写汉字，你将来也许会后悔的。,"Xiànzài bú yuànyì huā shíjiān liànxí xiě hànzì, nǐ jiānglái yěxǔ huì hòuhuǐ de."
我感觉头疼，还有点儿咳嗽，恐怕是感冒了。,"Wǒ gǎnjué tóuténg, hái yǒudiǎnr késou, kǒngpà shì gǎnmào le."
年底是公司最忙的时候，你想休假恐怕不行。,"Niándǐ shì gōngsī zuì máng de shíhou, nǐ xiǎng xiūjià kǒngpà bùxíng."
昨天那场比赛才精彩呢！,Zuótiān nà chǎng bǐsài cái jīngcǎi ne!
他总是迟到，我才不相信他今天能准时来。,"Tā zǒngshì chídào, wǒ cái bù xiāngxìn tā jīntiān néng zhǔnshí lái."
我就知道他肯定会答应的。,Wǒ jiù zhīdao tā kěndìng huì dāying de.
我就不信我考不上大学。,Wǒ jiù bú xìn wǒ kǎobushàng dàxué.
她并不相信我说的话。,Tā bìng bù xiāngxìn wǒ shuō de huà.
我以为考试很简单，其实并没有那么简单。,"Wǒ yǐwéi kǎoshì hěn jiǎndān, qíshí bìng méiyǒu nàme jiǎndān."
没想到他的中文说得还真不错。,Méi xiǎngdào tā de Zhōngwén shuō de hái zhēn búcuò.
老张还真厉害，这么快就把问题解决了。,"Lǎo Zhāng hái zhēn lìhai, zhème kuài jiù bǎ wèntí jiějué le."
他竟然在那么短的时间内完成了这么复杂的工作，太厉害了。,"Tā jìngrán zài nàme duǎn de shíjiān nèi wánchéngle zhème fùzá de gōngzuò, tài lìhai le."
昨天天气还很暖和，没想到今天竟然下雪了。,"Zuótiān tiānqì hái hěn nuǎnhuo, méi xiǎngdào jīntiān jìngrán xià xuě le."
他究竟是不是真的喜欢我，我还是有些怀疑。,"Tā jiūjìng shì bu shì zhēn de xǐhuan wǒ, wǒ háishi yǒuxiē huáiyí."
我很想知道汉字究竟是怎么产生的。,Wǒ hěn xiǎng zhīdao hànzì jiūjìng shì zěnme chǎnshēng de.
我明天下午正好有时间，可以帮你一起搬家。,"Wǒ míngtiān xiàwǔ zhènghǎo yǒu shíjiān, kěyǐ bāng nǐ yìqǐ bānjiā."
上个月我借了一本书，今天正好一个月了，你帮我还回去吧。,"Shàng ge yuè wǒ jièle yì běn shū, jīntiān zhènghǎo yí ge yuè le, nǐ bāng wǒ huánhuíqu ba."
明天就是最后一天了，你到底想不想报名？,"Míngtiān jiùshì zuìhòu yì tiān le, nǐ dàodǐ xiǎng bu xiǎng bàomíng?"
昨天的比赛你看了吗？他们队到底赢了没有？,Zuótiān de bǐsài nǐ kàn le ma? Tāmen duì dàodǐ yíng le méiyǒu?
难道你不知道坐飞机需要带护照吗？,Nándào nǐ bù zhīdao zuò fēijī xūyào dài hùzhào ma?
你难道不认为网上购物更方便吗？,Nǐ nándào bú rènwéi wǎngshàng gòuwù gèng fāngbiàn ma?
你把地址写在这儿，千万别写错了。,"Nǐ bǎ dìzhǐ xiě zài zhèr, qiānwàn bié xiěcuò le."
路上人多车也多，骑车时千万要小心。,"Lùshang rén duō chē yě duō, qí chē shí qiānwàn yào xiǎoxīn."
昨天晚上的京剧演出确实精彩。,Zuótiān wǎnshang de jīngjù yǎnchū quèshí jīngcǎi.
跟过去相比，这里确实发生了巨大的变化。,"Gēn guòqù xiāngbǐ, zhèlǐ quèshí fāshēngle jùdà de biànhuà."
电梯坏了，我们只好走楼梯上去。,"Diàntī huài le, wǒmen zhǐhǎo zǒu lóutī shàngqù."
因为没买到火车票，我假期只好留在学校。,"Yīnwèi méi mǎidào huǒchēpiào, wǒ jiàqī zhǐhǎo liú zài xuéxiào."
出门的时候太着急，我差（一）点儿忘带手机。,"Chūmén de shíhou tài zháojí, wǒ chà (yì) diǎnr wàng dài shǒujī."
我早上七点半才起床，差（一）点儿没迟到。,"Wǒ zǎoshang qī diǎn bàn cái qǐchuáng, chà (yì) diǎnr méi chídào."
自1978年以来，中国发生了很大的变化。,"Zì yī jiǔ qī bā nián yǐlái, Zhōngguó fāshēngle hěn dà de biànhuà."
我们自北京出发，开车往南走，来到了上海。,"Wǒmen zì Běijīng chūfā, kāi chē wǎng nán zǒu, láidàole Shànghǎi."
当遇到困难时，先冷静地想一想。,"Dāng yùdào kùnnan shí, xiān lěngjìng de xiǎng yi xiǎng."
当听到放假的消息时，同学们都非常高兴。,"Dāng tīngdào fàngjià de xiāoxi shí, tóngxuémen dōu fēicháng gāoxìng."
各位乘客，由北京飞往上海的航班就要起飞了。,"Gèwèi chéngkè, yóu Běijīng fēiwǎng Shànghǎi de hángbān jiù yào qǐfēi le."
学校决定由下个月开始每周增加一节中文课。,Xuéxiào juédìng yóu xià ge yuè kāishǐ měi zhōu zēngjiā yì jié Zhōngwén kè.
随着生活水平的提高，人们对食品健康的要求越来越高。,"Suízhe shēnghuó shuǐpíng de tígāo, rénmen duì shípǐn jiànkāng de yāoqiú yuèláiyuè gāo."
随着春天的到来，天气一天比一天暖和了。,"Suízhe chūntiān de dàolái, tiānqì yì tiān bǐ yì tiān nuǎnhuo le."
等我写完作业，咱们一起去踢足球。,"Děng wǒ xiěwán zuòyè, zánmen yìqǐ qù tī zúqiú."
等我们赶到车站，火车已经开走了。,"Děng wǒmen gǎndào chēzhàn, huǒchē yǐjīng kāizǒu le."
离开教室时，请将垃圾带走，并将门窗关好。,"Líkāi jiàoshì shí, qǐng jiāng lājī dàizǒu, bìng jiāng ménchuāng guānhǎo."
根据规定，禁止将食物带入图书馆。,"Gēnjù guīdìng, jìnzhǐ jiāng shíwù dàirù túshūguǎn."
这些商品的质量问题应该由工厂负责。,Zhèxiē shāngpǐn de zhìliàng wèntí yīnggāi yóu gōngchǎng fùzé.
我只是提供一些建议，到底怎么做由你决定。,"Wǒ zhǐshì tígōng yìxiē jiànyì, dàodǐ zěnme zuò yóu nǐ juédìng."
我刚才放在桌上的那些文件叫谁拿走了？,Wǒ gāngcái fàng zài zhuō shàng de nàxiē wénjiàn jiào shéi názǒu le?
我本来想去图书馆借书，可是学生证让我弄丢了。,"Wǒ běnlái xiǎng qù túshūguǎn jiè shū, kěshì xuéshengzhèng ràng wǒ nòngdiū le."
由于上次失败的经历，她对自己失去了信心。,"Yóuyú shàng cì shībài de jīnglì, tā duì zìjǐ shīqùle xìnxīn."
由于工作的原因，我一年内搬了好几次家。,"Yóuyú gōngzuò de yuányīn, wǒ yì nián nèi bānle hǎo jǐ cì jiā."
对于任何一种语言，文字的出现都是十分重要的。,"Duìyú rènhé yì zhǒng yǔyán, wénzì de chūxiàn dōu shì shífēn zhòngyào de."
对于学习成绩优秀的同学，学校每年都会提供奖学金。,"Duìyú xuéxí chéngjì yōuxiù de tóngxué, xuéxiào měinián dōu huì tígōng jiǎngxuéjīn."
你放心，我们会与你共同解决这个问题。,"Nǐ fàngxīn, wǒmen huì yǔ nǐ gòngtóng jiějué zhège wèntí."
这件事我没与任何人交流过。,Zhè jiàn shì wǒ méi yǔ rènhé rén jiāoliúguo.
作为生活在中国的外国人，我很想了解中国人的生活习惯。,"Zuòwéi shēnghuó zài Zhōngguó de wàiguórén, wǒ hěn xiǎng liǎojiě Zhōngguórén de shēnghuó xíguàn."
作为首都，北京的发展比一般的城市更快，工作机会更多。,"Zuòwéi shǒudū, Běijīng de fāzhǎn bǐ yìbān de chéngshì gèng kuài, gōngzuò jīhuì gèng duō."
你应该按医生说的方法坚持锻炼。,Nǐ yīnggāi àn yīshēng shuō de fāngfǎ jiānchí duànliàn.
这里租房子比较方便，房租可以按月付，也可以按天付。,"Zhèlǐ zū fángzi bǐjiào fāngbiàn, fángzū kěyǐ àn yuè fù, yě kěyǐ àn tiān fù."
按照北方人的习惯，过年一般要吃饺子。,"Ànzhào běifāngrén de xíguàn, guònián yìbān yào chī jiǎozi."
我们已经按照计划完成了全部工作。,Wǒmen yǐjīng ànzhào jìhuà wánchéngle quánbù gōngzuò.
学校同意并支持学生们的想法。,Xuéxiào tóngyì bìng zhīchí xuéshengmen de xiǎngfǎ.
公司讨论并通过了这项计划。,Gōngsī tǎolùn bìng tōngguòle zhè xiàng jìhuà.
这里的人民热情而友好。,Zhèlǐ de rénmín rèqíng ér yǒuhǎo.
她工作起来积极而努力。,Tā gōngzuò qǐlái jījí ér nǔlì.
学校与家庭对孩子的影响同样重要。,Xuéxiào yǔ jiātíng duì háizi de yǐngxiǎng tóngyàng zhòngyào.
课程目标是帮助学生提高阅读能力与听说能力。,Kèchéng mùbiāo shì bāngzhù xuésheng tígāo yuèdú nénglì yǔ tīngshuō nénglì.
我每天要上两节中文课，此外一周还要参加一次文化活动。,"Wǒ měitiān yào shàng liǎng jié Zhōngwén kè, cǐwài yì zhōu hái yào cānjiā yí cì wénhuà huódòng."
我来中国是想提高自己的汉语水平，此外还想学习中国文化。,"Wǒ lái Zhōngguó shì xiǎng tígāo zìjǐ de Hànyǔ shuǐpíng, cǐwài hái xiǎng xuéxí Zhōngguó wénhuà."
冬天的时候，北方下雪比较多，而南方下雪比较少。,"Dōngtiān de shíhou, běifāng xià xuě bǐjiào duō, ér nánfāng xià xuě bǐjiào shǎo."
他们兄弟的性格完全不同，哥哥喜欢热闹，而弟弟喜欢安静。,"Tāmen xiōngdì de xìnggé wánquán bùtóng, gēge xǐhuan rènao, ér dìdi xǐhuan ānjìng."
你说得对，既然来了中国，就要学习一些中国的文化。,"Nǐ shuō de duì, jìrán láile Zhōngguó, jiù yào xuéxí yìxiē Zhōngguó de wénhuà."
既然你决定应聘那份工作，就应该认真准备面试。,"Jìrán nǐ juédìng yìngpìn nà fèn gōngzuò, jiù yīnggāi rènzhēn zhǔnbèi miànshì."
活动还没开始，教室里就坐满了人，甚至还有人站在后面。,"Huódòng hái méi kāishǐ, jiàoshì lǐ jiù zuòmǎnle rén, shènzhì hái yǒu rén zhàn zài hòumian."
他最近工作很忙，有时候甚至连吃饭的时间都没有。,"Tā zuìjìn gōngzuò hěn máng, yǒu shíhou shènzhì lián chī fàn de shíjiān dōu méiyǒu."
我姐姐还没有结婚，不过已经有男朋友了。,"Wǒ jiějie hái méiyǒu jiéhūn, búguò yǐjīng yǒu nán péngyou le."
那家公司的地址我也不知道，不过我可以上网帮你查查。,"Nà jiā gōngsī de dìzhǐ wǒ yě bù zhīdao, búguò wǒ kěyǐ shàngwǎng bāng nǐ chácha."
从那天开始，我就跟着老师学习中国功夫，并且一直坚持到现在。,"Cóng nà tiān kāishǐ, wǒ jiù gēnzhe lǎoshī xuéxí Zhōngguó gōngfu, bìngqiě yìzhí jiānchí dào xiànzài."
她打算在中国学习中文，并且还想申请读研究生。,"Tā dǎsuàn zài Zhōngguó xuéxí Zhōngwén, bìngqiě hái xiǎng shēnqǐng dú yánjiūshēng."
我不光要学习中文，还要学习中国的历史和文化。,"Wǒ bùguāng yào xuéxí Zhōngwén, hái yào xuéxí Zhōngguó de lìshǐ hé wénhuà."
学校周围不光环境好，交通也很方便。,"Xuéxiào zhōuwéi bùguāng huánjìng hǎo, jiāotōng yě hěn fāngbiàn."
我弟弟不仅学习成绩好，而且性格也很好。,"Wǒ dìdi bùjǐn xuéxí chéngjì hǎo, érqiě xìnggé yě hěn hǎo."
骑自行车旅行不仅便宜，还能锻炼身体。,"Qí zìxíngchē lǚxíng bùjǐn piányi, hái néng duànliàn shēntǐ."
我大学学的是广告专业，另外还有三年工作经验。,"Wǒ dàxué xué de shì guǎnggào zhuānyè, lìngwài hái yǒu sān nián gōngzuò jīngyàn."
这些商品质量不错，另外价格也比较便宜。,"Zhèxiē shāngpǐn zhìliàng búcuò, lìngwài jiàgé yě bǐjiào piányi."
要是你也觉得满意，咱们就买吧。,"Yàoshi nǐ yě juéde mǎnyì, zánmen jiù mǎi ba."
要是天气不好，明天的活动就取消。,"Yàoshi tiānqì bù hǎo, míngtiān de huódòng jiù qǔxiāo."
买汽车的人越来越多，因此堵车成为了城市交通的大问题。,"Mǎi qìchē de rén yuèláiyuè duō, yīncǐ dǔchē chéngwéile chéngshì jiāotōng de dà wèntí."
她在中国生活过，因此对中国文化有一些了解。,"Tā zài Zhōngguó shēnghuóguo, yīncǐ duì Zhōngguó wénhuà yǒu yìxiē liǎojiě."
由于去晚了，前面没有座位了，我只好坐在最后一排。,"Yóuyú qùwǎn le, qiánmian méiyǒu zuòwèi le, wǒ zhǐhǎo zuò zài zuìhòu yì pái."
由于天气原因，我们的航班被取消了。,"Yóuyú tiānqì yuányīn, wǒmen de hángbān bèi qǔxiāo le."
我爸爸平时工作很忙，加上经常出差，有时候一周也见不到他。,"Wǒ bàba píngshí gōngzuò hěn máng, jiāshàng jīngcháng chūchāi, yǒu shíhou yì zhōu yě jiànbudào tā."
景区实在太大了，加上天气这么热，走了半天，我们又累又渴。,"Jǐngqū shízài tài dà le, jiāshàng tiānqì zhème rè, zǒule bàntiān, wǒmen yòu lèi yòu kě."
我会说英语、汉语、法语等很多种语言。,"Wǒ huì shuō Yīngyǔ, Hànyǔ, Fǎyǔ děng hěn duō zhǒng yǔyán."
你最好提前上网了解一下那里的天气、交通、景点等方面的信息。,"Nǐ zuìhǎo tíqián shàngwǎng liǎojiě yíxià nàlǐ de tiānqì, jiāotōng, jǐngdiǎn děng fāngmiàn de xìnxī."
根据学校的规定，迟到十分钟以上者不允许参加考试。,"Gēnjù xuéxiào de guīdìng, chídào shí fēnzhōng yǐshàng zhě bù yǔnxǔ cānjiā kǎoshì."
申请参加会议者，请将您的个人信息发送到此邮箱。,"Shēnqǐng cānjiā huìyì zhě, qǐng jiāng nín de gèrén xìnxī fāsòng dào cǐ yóuxiāng."
其实，来中国留学一开始并不在我的计划之内。,"Qíshí, lái Zhōngguó liúxué yì kāishǐ bìng bú zài wǒ de jìhuà zhīnèi."
我希望在提高中文水平的基础之上，能够学习一些专业知识。,"Wǒ xīwàng zài tígāo Zhōngwén shuǐpíng de jīchǔ zhī shàng, nénggòu xuéxí yìxiē zhuānyè zhīshi."
我们明天一定完成任务，您放心就是了。,"Wǒmen míngtiān yídìng wánchéng rènwu, nín fàngxīn jiùshì le."
我开车去学校接你，你在门口等我就是了。,"Wǒ kāi chē qù xuéxiào jiē nǐ, nǐ zài ménkǒu děng wǒ jiùshì le."
啊，原来是这么一回事！,"À, yuánlái shì zhème yì huí shì!"
啊，这么多人排队！,"À, zhème duō rén páiduì!"
A：八点出发来得及吗？,A: Bā diǎn chūfā láidejí ma?
B：嗯，应该来得及。,"B: Èn, yīnggāi láidejí."
奶奶把一小盒巧克力装进了孙子的书包里。,Nǎinai bǎ yì xiǎo hé qiǎokèlì zhuāngjìnle sūnzi de shūbāo lǐ.
回国前，我给父母买了两大包中国茶作为礼物。,"Huí guó qián, wǒ gěi fùmǔ mǎile liǎng dà bāo Zhōngguó chá zuòwéi lǐwù."
她说话的声音不大，但是一字一句说得很清楚。,"Tā shuōhuà de shēngyīn bú dà, dànshì yí zì yí jù shuō de hěn qīngchu."
这会儿路上堵车，一来一回至少需要两个小时。,"Zhèhuìr lùshang dǔchē, yì lái yì huí zhìshǎo xūyào liǎng ge xiǎoshí."
我无儿无女，一人吃饱全家不饿。,"Wǒ wú ér wú nǚ, yì rén chībǎo quánjiā bú è."
母亲无日无夜地照顾着生病的孩子。,Mǔqīn wú rì wú yè de zhàogùzhe shēngbìng de háizi.
下课了，同学们有说有笑地走出了教室。,"Xià kè le, tóngxuémen yǒu shuō yǒu xiào de zǒuchūle jiàoshì."
这部作品的每个人物都写得有血有肉。,Zhè bù zuòpǐn de měi ge rénwù dōu xiě de yǒu xuè yǒu ròu.
我这两天很忙，没来得及考虑这个问题。,"Wǒ zhè liǎng tiān hěn máng, méi láidejí kǎolǜ zhège wèntí."
我想参加明天的比赛，现在报名来得及吗？,"Wǒ xiǎng cānjiā míngtiān de bǐsài, xiànzài bàomíng láidejí ma?"
我发现这个问题时已经太晚了，来不及做出任何改变。,"Wǒ fāxiàn zhège wèntí shí yǐjīng tài wǎn le, láibují zuòchū rènhé gǎibiàn."
飞机就要起飞了，你得快一点儿，否则就来不及了。,"Fēijī jiù yào qǐfēi le, nǐ děi kuài yìdiǎnr, fǒuzé jiù láibují le."
一次失败并不可怕，以后有的是机会。,"Yí cì shībài bìng bù kěpà, yǐhòu yǒudeshì jīhuì."
这种水果我的家乡有的是。,Zhè zhǒng shuǐguǒ wǒ de jiāxiāng yǒudeshì.
客人来不来还说不定。,Kèrén lái bu lái hái shuōbudìng.
说不定路上堵车，再等一会儿吧。,"Shuōbudìng lùshang dǔchē, zài děng yíhuìr ba."
她从来都不怎么关心别人的看法。,Tā cónglái dōu bù zěnme guānxīn biéren de kànfǎ.
从检查结果来看，他受的伤不怎么严重。,"Cóng jiǎnchá jiéguǒ lái kàn, tā shòu de shāng bù zěnme yánzhòng."
他们没有直接拒绝你，而是让你回来等消息，就是说，你还有机会，千万不要放弃。,"Tāmen méiyǒu zhíjiē jùjué nǐ, érshì ràng nǐ huílái děng xiāoxi, jiùshì shuō, nǐ hái yǒu jīhuì, qiānwàn bú yào fàngqì."
他总是为自己的错误找各种原因，这就是说，他是一个不愿意负责任的人。,"Tā zǒngshì wèi zìjǐ de cuòwù zhǎo gèzhǒng yuányīn, zhè jiùshì shuō, tā shì yí ge bú yuànyì fù zérèn de rén."
他的表演一次比一次精彩。,Tā de biǎoyǎn yí cì bǐ yí cì jīngcǎi.
最近天气一天比一天暖和。,Zuìjìn tiānqì yì tiān bǐ yì tiān nuǎnhuo.
在教育孩子方面，张老师有丰富的经验。,"Zài jiàoyù háizi fāngmiàn, Zhāng lǎoshī yǒu fēngfù de jīngyàn."
在生活方面，他还不太习惯。,"Zài shēnghuó fāngmiàn, tā hái bú tài xíguàn."
这个房间真够大的，估计能住七八个人。,"Zhège fángjiān zhēn gòu dà de, gūjì néng zhù qī bā ge rén."
你男朋友真够浪漫的，每天都给你送一枝花。,"Nǐ nán péngyou zhēn gòu làngmàn de, měitiān dōu gěi nǐ sòng yì zhī huā."
中国各地的生活习惯各不相同，拿吃饭来说，南方人一般喜欢吃米饭，而北方人爱吃面条、馒头等面食。,"Zhōngguó gèdì de shēnghuó xíguàn gè bù xiāngtóng, ná chī fàn lái shuō, nánfāngrén yìbān xǐhuan chī mǐfàn, ér běifāngrén ài chī miàntiáo, mántou děng miànshí."
科技改变了人类的生活，拿交通来说，高铁的出现使人们的日常出行更快、更方便了。,"Kējì gǎibiànle rénlèi de shēnghuó, ná jiāotōng lái shuō, gāotiě de chūxiàn shǐ rénmen de rìcháng chūxíng gèng kuài, gèng fāngbiàn le."
我保证今后再也不迟到了。,Wǒ bǎozhèng jīnhòu zài yě bù chídào le.
大学毕业以后，我再也没见过他。,"Dàxué bìyè yǐhòu, wǒ zài yě méi jiànguo tā."
他们跑了好几家医院，怎么也没查出孩子生病的原因。,"Tāmen pǎole hǎo jǐ jiā yīyuàn, zěnme yě méi cháchū háizi shēngbìng de yuányīn."
尽管每天细心照顾，可阳台上的花怎么都不开。,"Jǐnguǎn měitiān xìxīn zhàogù, kě yángtái shàng de huā zěnme dōu bù kāi."
为了梦想而努力的人值得我们学习。,Wèile mèngxiǎng ér nǔlì de rén zhíde wǒmen xuéxí.
我们减少使用塑料袋，是为了保护环境而改变习惯。,"Wǒmen jiǎnshǎo shǐyòng sùliàodài, shì wèile bǎohù huánjìng ér gǎibiàn xíguàn."
虽然日子过得很难，但也不能过一天是一天。,"Suīrán rìzi guò de hěn nán, dàn yě bùnéng guò yì tiān shì yì tiān."
要学的内容实在太多了，学一点儿是一点儿吧。,"Yào xué de nèiróng shízài tài duō le, xué yìdiǎnr shì yìdiǎnr ba."
想好了就直接做，有什么好害怕的。,"Xiǎnghǎole jiù zhíjiē zuò, yǒu shénme hǎo hàipà de."
只是一次考试没考好，没有什么好难过的。,"Zhǐshì yí cì kǎoshì méi kǎohǎo, méiyǒu shénme hǎo nánguò de."
他是他，我是我，我们的意见不一样。,"Tā shì tā, wǒ shì wǒ, wǒmen de yìjiàn bù yíyàng."
工作是工作，家庭是家庭，不要用工作的方式解决家里的问题。,"Gōngzuò shì gōngzuò, jiātíng shì jiātíng, bú yào yòng gōngzuò de fāngshì jiějué jiā lǐ de wèntí."
这场会议很重要，你去也得去，不去也得去。,"Zhè chǎng huìyì hěn zhòngyào, nǐ qù yě děi qù, bú qù yě děi qù."
结果改变不了了，你接受也得接受，不接受也得接受。,"Jiéguǒ gǎibiàn bu liǎo le, nǐ jiēshòu yě děi jiēshòu, bù jiēshòu yě děi jiēshòu."
别浪费时间了，有什么想法说就是了。,"Bié làngfèi shíjiān le, yǒu shénme xiǎngfǎ shuō jiùshì le."
你不要生气，下次别答应他就是了。,"Nǐ bú yào shēngqì, xià cì bié dāying tā jiùshì le."
还国际公司呢，服务质量这么差。,"Hái guójì gōngsī ne, fúwù zhìliàng zhème chà."
还中文专业的呢，中文说得还不如我。,"Hái Zhōngwén zhuānyè de ne, Zhōngwén shuō de hái bùrú wǒ."
我不饿，你吃你的吧，不用等我。,"Wǒ bú è, nǐ chī nǐ de ba, búyòng děng wǒ."
没有什么重要的事，你忙你的吧。,"Méiyǒu shénme zhòngyào de shì, nǐ máng nǐ de ba."
老师让你多练你就多练，肯定没坏处。,"Lǎoshī ràng nǐ duō liàn nǐ jiù duō liàn, kěndìng méi huàichù."
叫你拿着你就拿着，不用跟我客气。,"Jiào nǐ názhe nǐ jiù názhe, búyòng gēn wǒ kèqi."
他受伤了，我说什么也得去看看他。,"Tā shòushāng le, wǒ shuō shénme yě děi qù kànkan tā."
快要迟到了，说什么也得走了。,"Kuàiyào chídào le, shuō shénme yě děi zǒu le."
这么有用的技术，我怎么（着）也得学。,"Zhème yǒuyòng de jìshù, wǒ zěnme (zhe) yě děi xué."
买就买（点儿）吧，也不太贵。,"Mǎi jiù mǎi (diǎnr) ba, yě bú tài guì."
慢就慢（点儿）吧，能做完就行。,"Màn jiù màn (diǎnr) ba, néng zuòwán jiù xíng."
我们讨论是讨论了，可是大家各有各的想法。,"Wǒmen tǎolùn shì tǎolùn le, kěshì dàjiā gè yǒu gè de xiǎngfǎ."
留学生活累是累，不过我们学到了很多知识。,"Liúxué shēnghuó lèi shì lèi, búguò wǒmen xuédàole hěn duō zhīshi."
面试的时候，我心里紧张死了。,"Miànshì de shíhou, wǒ xīnli jǐnzhāng sǐle."
不知道从哪儿来的声音，吵死了。,"Bù zhīdao cóng nǎr lái de shēngyīn, chǎo sǐle."
吃完冰激凌，我突然牙疼得厉害。,"Chīwán bīngjilíng, wǒ tūrán yá téng de lìhai."
我们这儿有个同学病得很厉害，请你们赶快来看看。,"Wǒmen zhèr yǒu ge tóngxué bìng de hěn lìhai, qǐng nǐmen gǎnkuài lái kànkan."
你点了这么多菜，咱们两个人吃得了吗？,"Nǐ diǎnle zhème duō cài, zánmen liǎng ge rén chī de liǎo ma?"
我帮你一起做，下班之前肯定完成得了。,"Wǒ bāng nǐ yìqǐ zuò, xià bān zhīqián kěndìng wánchéng de liǎo."
行李太重了，我一个人拿不了。,"Xíngli tài zhòng le, wǒ yí ge rén ná bu liǎo."
明天的比赛他参加不了。,Míngtiān de bǐsài tā cānjiā bu liǎo.
作为学生，难道学习不是最重要的事情吗？,"Zuòwéi xuésheng, nándào xuéxí bú shì zuì zhòngyào de shìqing ma?"
工作出了问题，你难道不应该负责吗？,"Gōngzuò chūle wèntí, nǐ nándào bù yīnggāi fùzé ma?"
这么有名的作家，谁不认识他？,"Zhème yǒumíng de zuòjiā, shéi bú rènshi tā?"
他去哪儿从来不说，我怎么会知道呢？,"Tā qù nǎr cónglái bù shuō, wǒ zěnme huì zhīdao ne?"
事情这么多，我哪儿有时间出去旅游啊？,"Shìqing zhème duō, wǒ nǎr yǒu shíjiān chūqù lǚyóu a?"
你再把那件衣服洗一洗。,Nǐ zài bǎ nà jiàn yīfu xǐ yi xǐ.
你把窗户擦一擦，我把地板扫一扫,"Nǐ bǎ chuānghu cā yi cā, wǒ bǎ dìbǎn sǎo yi sǎo"
他把钱算了算，又取了一点儿出来。,"Tā bǎ qián suàn le suàn, yòu qǔle yìdiǎnr chūlái."
我把银行卡密码忘了。,Wǒ bǎ yínhángkǎ mìmǎ wàng le.
他把新买的手机丢了。,Tā bǎ xīn mǎi de shǒujī diū le.
因为不收拾房间，妈妈把他批评了一顿。,"Yīnwèi bù shōushi fángjiān, māma bǎ tā pīpíngle yí dùn."
同学们把课文读了两遍。,Tóngxuémen bǎ kèwén dúle liǎng biàn.
他把这个问题认真地考虑了好几天。,Tā bǎ zhège wèntí rènzhēn de kǎolǜle hǎo jǐ tiān.
你别把垃圾往地上扔。,Nǐ bié bǎ lājī wǎng dì shàng rēng.
请大家把说明书认真读一读。,Qǐng dàjiā bǎ shuōmíngshū rènzhēn dú yi dú.
我的自行车让朋友借去了。,Wǒ de zìxíngchē ràng péngyou jièqù le.
相机叫谁拿走了？,Xiàngjī jiào shéi názǒu le?
老师表扬我取得了好成绩。,Lǎoshī biǎoyáng wǒ qǔdéle hǎo chéngjì.
警察表扬那个小伙子帮助了别人。,Jǐngchá biǎoyáng nàge xiǎohuǒzi bāngzhùle biéren.
妈妈总是批评我不收拾房间。,Māma zǒngshì pīpíng wǒ bù shōushi fángjiān.
经理批评我没带会议资料。,Jīnglǐ pīpíng wǒ méi dài huìyì zīliào.
同学们选我做小组长。,Tóngxuémen xuǎn wǒ zuò xiǎozǔzhǎng.
大家想选他当队长。,Dàjiā xiǎng xuǎn tā dāng duìzhǎng.
张教授同意收我为学生。,Zhāng jiàoshòu tóngyì shōu wǒ wéi xuésheng.
