chinese,english
太胖了不好，太瘦了也不好。,"It's not good to be too fat, nor is it good to be too thin."
你来也可以。,You're welcome to come along too.
身体健康最重要。,Good health is the most important thing.
我昨天新买的那条黑色的裤子你放在哪儿了？,Where did you put those black trousers I bought yesterday?
前面那个穿着蓝衬衫的短头发高个子的老人就是我的中文老师。,"That tall, short-haired elderly man in the blue shirt at the front is my Chinese teacher."
火车票你买到了没有？,Have you managed to get your train ticket yet?
老师说的话我都记住了。,I've taken note of everything the teacher said.
我的自行车让朋友骑走了。,A friend took my bike for a ride.
下班的时候，别忘了关上电脑。,"When you finish work, don't forget to switch off your computer."
我们终于想出了一个好办法。,We've finally come up with a good solution.
你想起她的名字了没有？,Have you remembered her name yet?
请在这儿写下您的电话。,Please enter your telephone number here.
饿了一天，我们终于吃上饭了。,"After going without food all day, we finally got something to eat."
儿子刚到家就玩上了电脑游戏。,"As soon as my son got home, he started playing computer games."
他们一见面就聊起来了。,They started chatting as soon as they met.
妈妈一出门，孩子就哭起来了。,"As soon as Mum went out, the child started crying."
虽然学习汉语不容易，但是我一定会坚持下去。,"Although learning Chinese isn't easy, I'm determined to stick with it."
在老师的帮助下，我一定可以学下去。,"With the teacher's help, I'm sure I'll be able to carry on with my studies."
在过去的一年里，我把每天练习汉字的习惯坚持下来了。,"Over the past year, I have managed to stick to my daily habit of practising Chinese characters."
这三天玩下来太累了，我得好好休息休息。,These last three days have been so tiring; I really need to have a proper rest.
老师说的话你听得懂吗？,Do you understand what the teacher is saying?
黑板上的字太小，我看不清楚。,The writing on the blackboard is too small; I can't make it out.
这里的环境好得很。,The surroundings here are absolutely lovely.
这儿从早到晚都有风，凉快得很。,"It's very breezy here from morning till night, and it's lovely and cool."
看见考试成绩的时候，我高兴极了。,"When I saw my exam results, I was absolutely delighted."
爬山回来，大家都累坏了。,"After coming back from the hike, everyone was absolutely knackered."
开学已经两个星期了。,It's been two weeks since the start of term.
这件事已经过去五年了。,It has been five years since that happened.
怎样才能学好汉语呢？,How can I learn Chinese effectively?
中国人是怎样过新年的？,How do the Chinese celebrate the New Year?
你不是写完作业了吗？,Haven't you finished your homework?
考试不是下个星期一吗？,Isn't the exam next Monday?
我们把桌子搬到教室外边了。,We've moved the tables outside the classroom.
我们把礼物送给老师了。,We gave the presents to our teacher.
他把那本书借给我了。,He lent me that book.
我已经把晚饭准备好了。,I've already prepared dinner.
咱们把这些桌子搬进去吧。,Let's carry these tables inside.
妈妈把衣服洗得干干净净。,Mum washed the clothes until they were spotlessly clean.
我的词典被朋友借走了。,A friend has borrowed my dictionary.
冰箱里的水果被谁吃了？,Who ate the fruit in the fridge?
桌子上的作业被拿走了。,The homework on the table was taken away.
病人已经被送到医院了。,The patient has already been taken to hospital.
老师总是笑着回答大家的问题。,The teacher always answers everyone's questions with a smile.
我喜欢听着音乐做运动。,I like to exercise whilst listening to music.
她的汉语比我更好。,Her Chinese is better than mine.
今天比昨天还冷。,It's colder today than it was yesterday.
我的爱好跟他一样。,My hobbies are the same as his.
他买的新手机跟我的一样。,The new mobile phone he bought is the same as mine.
坐地铁跟坐公交车一样方便。,Travelling by underground is just as convenient as travelling by bus.
这个房间跟那个房间一样大。,This room is the same size as that one.
这张画不比那张好看。,This painting isn't any better than that one.
我的汉语水平不比他高。,My Chinese isn't any better than his.
我比他早到十分钟。,I arrived ten minutes before him.
哥哥比弟弟多吃了三个饺子。,The older brother ate three more dumplings than his younger brother.
前边开过来一辆出租车。,A taxi came driving up from ahead.
楼上搬来了一家人。,A family has moved into the flat upstairs.
校门外走进来几个学生。,A few pupils walked in through the school gates.
树上飞走了三只小鸟。,Three little birds flew away from the tree.
他家里跑丢了一只羊。,A sheep went missing from his farm.
这个问题其实是很简单的。,This question is actually quite simple.
多写多练对学习汉字是很有帮助的。,Writing and practising as much as possible is very helpful when learning Chinese characters.
我们昨天打篮球打了一个下午。,We spent the whole afternoon playing basketball yesterday.
你今天上课上得怎么样？,How did your lessons go today?
你先去买门票，再来这里找我。,"Go and buy your ticket first, then come back here to find me."
我想先吃饭，然后回房间休息。,"I'd like to have dinner first, then go back to my room to rest."
每周末，我们或者踢足球，或者打篮球。,"Every weekend, we either play football or basketball."
春节的时候，人们或者回家过节，或者出门旅游。,"During the Spring Festival, people either return home to celebrate or go on holiday."
他一会儿进来，一会儿出去，忙得很。,He was constantly popping in and out; he was very busy.
最近的天气一会儿冷，一会儿热。,"The weather has been rather changeable of late, alternating between cold and warm."
这件衣服又便宜又好看。,This top is both cheap and stylish.
那个又高又漂亮的女孩儿是谁？,"Who is that tall, pretty girl?"
他一边工作，一边学习中文。,He works whilst learning Chinese.
我喜欢一边跑步，一边听音乐。,I like listening to music whilst I'm out for a run.
不但我学习中文，而且我的弟弟也学习中文。,"Not only am I learning Chinese, but my younger brother is learning Chinese too."
我哥哥不但会打篮球，而且打得很好。,"My brother not only plays basketball, but he's very good at it."
房间虽然不大，可是很干净。,"Although the room isn't very big, it's very clean."
虽然天气很冷，可是他还是坚持每天锻炼。,"Although it's very cold, he still makes a point of exercising every day."
如果明天不下雨，我们就去爬山。,"If it doesn't rain tomorrow, we'll go for a walk in the hills."
如果你需要帮忙，就给我打电话。,"If you need any help, just give me a call."
你有时间的话，就一起去吧。,"If you've got time, why not come along?"
你觉得满意的话，咱们就买。,"If you're happy with it, we'll buy it."
只有努力学习，才能得到好成绩。,Only by studying hard can you achieve good results.
只有多听、多说、多看，你的中文水平才能提高。,"Only by listening, speaking and reading more will your Chinese improve."
只要你坚持学习，就一定能学好。,"As long as you keep at it, you're bound to do well."
只要你同意，我们就这么决定了。,"As long as you agree, that's what we'll do."
为了考上大学，她每天努力学习。,She studies hard every day in order to get into university.
为了早点儿到家，我打算坐飞机。,"To get home earlier, I'm planning to fly."
他吃了药就好多了。,He felt much better after taking the medicine.
我打算下了课就去图书馆。,I'm planning to go to the library after class.
你大概多长时间能到？,"How long will it take you to get here, roughly?"
这些水果大概五十块钱。,These fruits cost about fifty yuan.
教室里来了七八个学生。,Seven or eight pupils came into the classroom.
从我家到学校，走路需要十五六分钟。,It takes about fifteen or sixteen minutes to walk from my house to school.
我刚学会开车，不敢开得很快。,"I've only just learnt to drive, so I don't dare drive too fast."
你敢不敢跟我比一比，谁的力气大？,Do you dare have a go at me to see who's stronger?
对于这个问题，同学们各有各的看法。,Students have their own views on this issue.
节日期间，各地举行了丰富的庆祝活动。,"During the festive period, a wide range of celebratory events were held across the country."
各位同学，请大家安静一下。,"Ladies and gentlemen, please be quiet."
欢迎各位报名参加这次运动会。,We invite everyone to sign up for this sports day.
南方各种花都开了，可是北方还比较冷。,"All sorts of flowers are in bloom in the south, but it's still quite cold in the north."
商场、超市总是通过各种方式吸引顾客。,Shopping centres and supermarkets are always finding various ways to attract customers.
你遇到任何困难都可以联系我。,Please feel free to contact me if you encounter any difficulties.
在中国，几乎任何一家商店都可以使用手机支付。,"In China, mobile payments are accepted in almost any shop."
此处不能扔垃圾，请扔到垃圾桶里。,Please do not leave rubbish here; please put it in the bin.
对于此事，你的父母有什么意见？,What do your parents think about this?
昨晚老张买了一打啤酒。,"Last night, Old Zhang bought a dozen beers."
我买了一打鸡蛋，准备做蛋糕。,I bought a dozen eggs to make a cake.
我这儿有一袋方便面，你要不要吃？,I've got a packet of instant noodles here. Fancy some?
妈妈从市场买回来好几袋水果。,Mum came home from the market with several bags of fruit.
我家院子里种着两棵苹果树。,There are two apple trees growing in my garden.
小猫爬上了路边的一棵大树。,The kitten climbed up a large tree by the roadside.
这台空调太旧了，没办法修。,This air-conditioner is far too old; it can't be repaired.
搬家时，我把家里那台冰箱卖了。,"When I moved house, I sold our fridge."
您能介绍一下这幅画吗？,Could you tell us a bit about this painting?
张老师，我想请您给我写一幅字。,"Mr Zhang, I would like to ask you to write a piece of calligraphy for me."
她拿着礼物，一脸兴奋地跑了进来。,"She ran in, holding the present, looking absolutely thrilled."
小明见到了自己喜欢的作家，满脸高兴。,Xiao Ming was over the moon when he met his favourite author.
我不知道从哪儿弄了一手油。,I don't know where I got hold of some oil.
他从小练习书法，写得一手好字。,He has been practising calligraphy since childhood and has a beautiful hand.
我从国外买回来一盒巧克力。,I brought back a box of chocolates from abroad.
老师让我们准备一盒画笔。,The teacher asked us to bring a box of coloured pencils.
我非常喜欢读书，家里有一屋子的书。,I love reading very much; I have a room full of books at home.
我有一屋子的衣服，你随便选。,I've got a house full of clothes; help yourself.
听到这个消息，一桌子的人都很开心。,"Upon hearing the news, everyone at the table was delighted."
我每次回家，父母都会准备一桌子饭菜。,"Whenever I go home, my parents always lay on a feast."
大卫参加了一场文化活动，体验了美食和音乐。,"David took part in a cultural event, where he enjoyed the food and music."
同学们都想在中国观看一场京剧演出。,The students would all like to see a Peking Opera performance in China.
周末咱们去饭馆好好吃一顿，怎么样？,How about we go out for a proper meal at a restaurant this weekend?
中秋节我们一起吃了一顿饭。,We had a meal together on the Mid-Autumn Festival.
我假期打算回一趟家，看看父母。,I'm planning to pop back home during the holidays to see my parents.
我刚才去了一趟办公室，没看见王老师。,"I popped into the office a moment ago, but I didn't see Mr Wang."
她十分激动地对我们表示感谢。,She expressed her gratitude to us with great emotion.
那位导游对游客十分热情。,That tour guide was very friendly towards the tourists.
随着互联网的发展，网上购物变得更加方便了。,"With the development of the internet, online shopping has become much more convenient."
读完这本书，他对中国历史更加感兴趣了。,"After reading this book, he became even more interested in Chinese history."
请您在这儿稍等一下，王经理马上就到。,Please wait here for a moment; Manager Wang will be with you shortly.
对于这个词，两本词典的解释稍有不同。,The definitions of this word in the two dictionaries differ slightly.
如果裙子的颜色稍微浅一点儿，那就更好了。,It would be even better if the skirt were a little lighter in colour.
你能不能把字写得稍微大一些？,Could you please write the text a bit larger?
人与人之间，尤其是父母和孩子之间，相互理解是很重要的。,"Mutual understanding is very important between people, particularly between parents and children."
刚开始，我对这里的生活很不适应，尤其不习惯吃中国菜。,"At first, I found it very difficult to adjust to life here; I particularly struggled to get used to eating Chinese food."
你听，她唱得多么好听啊！,"Listen, she sings so beautifully!"
成为母亲以后，我才明白教育孩子有多么不容易。,It was only after becoming a mother that I realised just how difficult it is to bring up children.
上一年大学，学费和生活费共需多少钱？,How much does it cost in total for tuition fees and living expenses for one year at university?
中国人习惯一家人共吃一桌菜。,It is customary for Chinese families to share a meal together at the same table.
昨天学习的生词和语法我已经全记住了。,I've already learnt all the new vocabulary and grammar we covered yesterday.
全班同学都报名参加了这次的运动会。,The whole class signed up to take part in this sports day.
光这一间教室，他就打扫了一整天。,He spent the whole day cleaning this one classroom alone.
你不能光练口语，不练汉字，这样你的中文水平很难提高。,"You cannot just practise speaking without practising Chinese characters; if you do, it will be very difficult to improve your Chinese."
这个公园平时不开，仅在周末开放。,This park is not usually open; it is only open at weekends.
他仅用一年多的时间就学完了高中所有的课程。,He completed the entire high school curriculum in just over a year.
她仅仅去过一次，就深深地爱上了那里。,"She had only been there once, but she fell deeply in love with the place."
你想学好中文，仅仅有想法是不够的，必须努力学习。,"If you want to learn Chinese well, simply having the intention is not enough; you must work hard at it."
你们两个人一起去，遇到问题至少能商量一下。,"If the two of you go together, you'll at least be able to discuss things if any problems arise."
那里的景点很多，都参观完至少要三天的时间。,There are many attractions there; it would take at least three days to see them all.
时间很紧张，但我们必须按时完成任务。,"Time is tight, but we must complete the task on schedule."
医生让我回家按时吃药，多喝热水。,"The doctor told me to go home, take my medicine on time and drink plenty of hot water."
我从来没有离开过家乡，父母不放心我一个人出国留学。,"I have never left my hometown, and my parents are worried about me going abroad to study on my own."
我常常吃饺子，可是从来不知道饺子是怎么做的。,"I often eat dumplings, but I've never known how they're made."
服务员见到我们，赶紧跑过来，热情地说“欢迎”。,"As soon as the waiter saw us, he hurried over and said a warm ‘Welcome'."
这儿的风景太漂亮了，我得赶紧拍几张照片。,The scenery here is so beautiful; I'd better take a few photos straight away.
咱们赶快往前走，大家都在前面等着呢。,Let's hurry on; everyone's waiting for us up ahead.
你现在赶快叫一辆出租车，马上出发。,Go and hail a taxi straight away and set off immediately.
到今年十月，公司的收入已超过去年。,"By October this year, the company's revenue had already exceeded last year's figure."
他的父亲已有五十多岁，两个姐姐也都已结婚了。,"His father is in his fifties, and his two older sisters are both married."
看着儿子努力学习的样子，我忽然觉得他长大了。,"Watching my son studying so hard, I suddenly realised how much he'd grown up."
忽然，我听到一个声音说“小伙子，等一等”。,"Suddenly, I heard a voice say, ‘Young man, wait a moment.'"
比赛一结束，他就将自己获奖的消息告诉了父母。,"As soon as the competition was over, he told his parents that he had won a prize."
如果孩子学到自己感兴趣的知识，他的能力将得到更好的发展。,"If a child learns about subjects that interest them, their abilities will develop more effectively."
根据计划，公司下周将要推出新产品。,"According to the plan, the company is set to launch a new product next week."
学校最近将要安排我们到南方进行调查研究。,The school is planning to send us to the south for a research trip shortly.
我从没有听说过这个消息。,I've never heard of this before.
父母总是鼓励我，从不批评我。,My parents always encouraged me and never criticised me.
我本来计划学习一年中文就回国工作，现在我想继续学下去。,"I had originally planned to study Chinese for a year and then return home to work, but now I'd like to carry on studying."
我本来以为父母会反对我留在中国，没想到他们竟然这么支持。,"I'd thought my parents would be against me staying in China, but I never expected them to be so supportive."
我们需要重新安排会议时间。,We need to reschedule the meeting.
这个问题，您能不能重新考虑一下？,Could you please give this matter some further thought?
其实，一些看起来很小的事情往往会影响人的一生。,"In fact, things that seem trivial can often have a lasting impact on a person's life."
这两个词意思差不多，如果不知道它们的区别，往往容易用错。,"These two words have similar meanings, and if you are unaware of the difference between them, it is easy to use them incorrectly."
他平时工作很忙，回家以后看看书、上上网，偶尔运动一下，就睡觉了。,"He's usually very busy at work; when he gets home, he reads a book, surfs the internet, does a bit of exercise now and then, and then goes to bed."
我们偶尔会一起出去玩儿，有时候看电影，有时候踢足球。,"We occasionally go out together; sometimes we go to the cinema, and sometimes we play football."
老师再次提醒同学们考试以前一定要认真复习。,The teacher reminded the pupils once again that they must revise thoroughly before the exam.
再次回到童年时生活的地方，我感到既熟悉又感动。,"Returning once again to the place where I grew up, I felt both a sense of familiarity and deep emotion."
他老说要跟同学们多交流，可是从来不参加班级活动。,"He's always saying he wants to socialise more with his classmates, but he never takes part in class activities."
大家的工作都很忙，你老想让别人照顾你，是不可能的。,Everyone's very busy with their work; you can't expect people to look after you all the time.
真对不起，我不是故意的，你千万别生气。,"I'm really sorry, I didn't mean to do that – please don't be angry."
他故意提高声音，好让大家都能听见。,He deliberately raised his voice so that everyone could hear him.
我想练习中文，咱们互相学习，互相帮助，怎么样？,I'd like to practise my Chinese. Shall we learn from each other and help one another?
大家都是同学，应该互相关心，互相照顾。,"We're all classmates, so we should look out for one another and look after one another."
国家之间应该相互尊重，相互交流，共同发展。,"Countries should respect one another, engage in mutual exchange and pursue common development."
随着信息技术的发展，不同语言的相互影响越来越普遍。,"With the development of information technology, mutual influence between different languages is becoming increasingly common."
有些打折的商品尽管便宜，质量却不能让人满意。,"Although some discounted items are cheap, their quality leaves much to be desired."
她长得很像她的姐姐，但两个人的性格却完全不同。,"She looks a lot like her sister, but their personalities are completely different."
你可以加一点儿糖，味道也许不错。,You could add a little sugar; it might taste quite nice.
现在不愿意花时间练习写汉字，你将来也许会后悔的。,"If you're not willing to spend time practising writing Chinese characters now, you might regret it later."
我感觉头疼，还有点儿咳嗽，恐怕是感冒了。,I've got a headache and a slight cough; I'm afraid I've caught a cold.
年底是公司最忙的时候，你想休假恐怕不行。,"The end of the year is the busiest time for the company, so I'm afraid you won't be able to take leave."
昨天那场比赛才精彩呢！,That match yesterday was absolutely brilliant!
他总是迟到，我才不相信他今天能准时来。,"He's always late, so I don't believe for a moment that he'll turn up on time today."
我就知道他肯定会答应的。,I just knew he'd say yes.
我就不信我考不上大学。,I just don't believe I won't get into university.
她并不相信我说的话。,She didn't believe what I said.
我以为考试很简单，其实并没有那么简单。,"I thought the exam would be easy, but it wasn't quite that simple."
没想到他的中文说得还真不错。,I didn't expect his Chinese to be quite so good.
老张还真厉害，这么快就把问题解决了。,Old Zhang really is brilliant—he's sorted the problem out so quickly.
他竟然在那么短的时间内完成了这么复杂的工作，太厉害了。,He actually managed to complete such a complex task in such a short space of time – that's brilliant.
昨天天气还很暖和，没想到今天竟然下雪了。,It was still quite warm yesterday; I never expected it to snow today.
他究竟是不是真的喜欢我，我还是有些怀疑。,I'm still a bit unsure whether he really likes me or not.
我很想知道汉字究竟是怎么产生的。,I'm very curious to know exactly how Chinese characters came into being.
我明天下午正好有时间，可以帮你一起搬家。,"I happen to be free tomorrow afternoon, so I can help you move house."
上个月我借了一本书，今天正好一个月了，你帮我还回去吧。,"I borrowed a book last month; it's been exactly a month today, so could you please return it for me?"
明天就是最后一天了，你到底想不想报名？,Tomorrow's the last day – are you going to sign up or not?
昨天的比赛你看了吗？他们队到底赢了没有？,Did you watch yesterday's match? Did their team actually win?
难道你不知道坐飞机需要带护照吗？,Don't you know you need to bring your passport when you fly?
你难道不认为网上购物更方便吗？,Don't you think online shopping is more convenient?
你把地址写在这儿，千万别写错了。,Please write the address here – make sure you don't get it wrong.
路上人多车也多，骑车时千万要小心。,"There are lots of people and cars on the roads, so please be very careful when cycling."
昨天晚上的京剧演出确实精彩。,Last night's Peking Opera performance was truly brilliant.
跟过去相比，这里确实发生了巨大的变化。,"Compared to the past, there have certainly been huge changes here."
电梯坏了，我们只好走楼梯上去。,"The lift was out of order, so we had to take the stairs."
因为没买到火车票，我假期只好留在学校。,"As I couldn't get a train ticket, I had no choice but to stay at university over the holidays."
出门的时候太着急，我差（一）点儿忘带手机。,I was in such a rush when I left the house that I nearly forgot my mobile.
我早上七点半才起床，差（一）点儿没迟到。,I didn't get up until half past seven this morning; I was (just) about to be late.
自1978年以来，中国发生了很大的变化。,China has undergone significant changes since 1978.
我们自北京出发，开车往南走，来到了上海。,"We set off from Beijing, drove south, and arrived in Shanghai."
当遇到困难时，先冷静地想一想。,"When you encounter difficulties, take a moment to think calmly."
当听到放假的消息时，同学们都非常高兴。,"When they heard the news that they were off school, the pupils were all delighted."
各位乘客，由北京飞往上海的航班就要起飞了。,"Ladies and gentlemen, the flight from Beijing to Shanghai is about to depart."
学校决定由下个月开始每周增加一节中文课。,The school has decided to add one extra Chinese lesson per week from next month.
随着生活水平的提高，人们对食品健康的要求越来越高。,"As living standards rise, people are placing ever greater emphasis on the healthiness of their food."
随着春天的到来，天气一天比一天暖和了。,"With the arrival of spring, the weather is getting warmer day by day."
等我写完作业，咱们一起去踢足球。,"Once I've finished my homework, let's go and play football together."
等我们赶到车站，火车已经开走了。,"By the time we got to the station, the train had already left."
离开教室时，请将垃圾带走，并将门窗关好。,"When leaving the classroom, please take your rubbish with you and ensure that the doors and windows are closed."
根据规定，禁止将食物带入图书馆。,"In accordance with the regulations, food is not permitted in the library."
这些商品的质量问题应该由工厂负责。,The factory should be held responsible for the quality issues with these goods.
我只是提供一些建议，到底怎么做由你决定。,I'm just offering some advice; it's up to you to decide what to do.
我刚才放在桌上的那些文件叫谁拿走了？,Who took those documents I'd just left on the desk?
我本来想去图书馆借书，可是学生证让我弄丢了。,"I was going to go to the library to borrow some books, but I've lost my student card."
由于上次失败的经历，她对自己失去了信心。,"Because of her previous failure, she lost confidence in herself."
由于工作的原因，我一年内搬了好几次家。,"Due to my job, I've moved house several times in the space of a year."
对于任何一种语言，文字的出现都是十分重要的。,The emergence of writing is of great importance to any language.
对于学习成绩优秀的同学，学校每年都会提供奖学金。,The school offers scholarships every year to students with excellent academic results.
你放心，我们会与你共同解决这个问题。,"Rest assured, we will work with you to resolve this issue."
这件事我没与任何人交流过。,I haven't spoken to anyone about this.
作为生活在中国的外国人，我很想了解中国人的生活习惯。,"As a foreigner living in China, I am very keen to learn about the lifestyle of the Chinese people."
作为首都，北京的发展比一般的城市更快，工作机会更多。,"As the capital, Beijing develops at a faster pace than most other cities and offers more job opportunities."
你应该按医生说的方法坚持锻炼。,You should stick to the exercise routine recommended by your doctor.
这里租房子比较方便，房租可以按月付，也可以按天付。,It's quite easy to rent a flat here; you can pay the rent either monthly or by the day.
按照北方人的习惯，过年一般要吃饺子。,"In keeping with northern Chinese tradition, it is customary to eat dumplings during the Spring Festival."
我们已经按照计划完成了全部工作。,We have completed all the work as planned.
学校同意并支持学生们的想法。,The school agrees with and supports the students' ideas.
公司讨论并通过了这项计划。,The company discussed and approved the plan.
这里的人民热情而友好。,The people here are warm and friendly.
她工作起来积极而努力。,She is enthusiastic and hard-working in her job.
学校与家庭对孩子的影响同样重要。,School and home are equally important in shaping a child's development.
课程目标是帮助学生提高阅读能力与听说能力。,"The aim of the course is to help students improve their reading, listening and speaking skills."
我每天要上两节中文课，此外一周还要参加一次文化活动。,"I have two Chinese lessons every day, and I also take part in a cultural activity once a week."
我来中国是想提高自己的汉语水平，此外还想学习中国文化。,I came to China to improve my Chinese and also to learn about Chinese culture.
冬天的时候，北方下雪比较多，而南方下雪比较少。,"In winter, it snows quite a lot in the north, whereas it snows relatively little in the south."
他们兄弟的性格完全不同，哥哥喜欢热闹，而弟弟喜欢安静。,"The brothers have completely different personalities; the elder brother likes a lively atmosphere, whilst the younger brother prefers peace and quiet."
你说得对，既然来了中国，就要学习一些中国的文化。,"You're right; now that I'm here in China, I should learn a bit about Chinese culture."
既然你决定应聘那份工作，就应该认真准备面试。,"Now that you've decided to apply for that job, you should prepare thoroughly for the interview."
活动还没开始，教室里就坐满了人，甚至还有人站在后面。,"The event hadn't even started yet, but the classroom was already full, with some people even standing at the back."
他最近工作很忙，有时候甚至连吃饭的时间都没有。,He's been very busy at work recently; sometimes he doesn't even have time to eat.
我姐姐还没有结婚，不过已经有男朋友了。,"My sister isn't married yet, but she does have a boyfriend."
那家公司的地址我也不知道，不过我可以上网帮你查查。,"I don't know the address of that company either, but I can look it up for you online."
从那天开始，我就跟着老师学习中国功夫，并且一直坚持到现在。,"From that day onwards, I began learning Chinese martial arts under my teacher's guidance, and I have kept it up ever since."
她打算在中国学习中文，并且还想申请读研究生。,She plans to study Chinese in China and would also like to apply for a postgraduate place.
我不光要学习中文，还要学习中国的历史和文化。,"I want to learn not only the Chinese language, but also Chinese history and culture."
学校周围不光环境好，交通也很方便。,"Not only is the area around the school pleasant, but it is also well served by public transport."
我弟弟不仅学习成绩好，而且性格也很好。,"My younger brother not only does well at school, but he also has a lovely personality."
骑自行车旅行不仅便宜，还能锻炼身体。,"Cycling holidays are not only inexpensive, but also a great way to keep fit."
我大学学的是广告专业，另外还有三年工作经验。,I studied advertising at university and have three years' work experience.
这些商品质量不错，另外价格也比较便宜。,These products are of good quality and are also quite reasonably priced.
要是你也觉得满意，咱们就买吧。,"If you're happy with it too, let's go ahead and buy it."
要是天气不好，明天的活动就取消。,"If the weather is bad, tomorrow's event will be cancelled."
买汽车的人越来越多，因此堵车成为了城市交通的大问题。,"With more and more people buying cars, traffic congestion has become a major problem for urban transport."
她在中国生活过，因此对中国文化有一些了解。,"She has lived in China, so she has some understanding of Chinese culture."
由于去晚了，前面没有座位了，我只好坐在最后一排。,"As I arrived late, there were no seats left at the front, so I had to sit in the back row."
由于天气原因，我们的航班被取消了。,"Due to the weather, our flight was cancelled."
我爸爸平时工作很忙，加上经常出差，有时候一周也见不到他。,"My dad is usually very busy with work, and as he's often away on business trips, there are times when I don't see him for a whole week."
景区实在太大了，加上天气这么热，走了半天，我们又累又渴。,"The scenic area was simply enormous, and with the weather being so hot, after walking for half a day, we were both tired and parched."
我会说英语、汉语、法语等很多种语言。,"I speak many languages, including English, Chinese and French."
你最好提前上网了解一下那里的天气、交通、景点等方面的信息。,"You'd be well advised to check online in advance for information on the weather, transport and places of interest there."
根据学校的规定，迟到十分钟以上者不允许参加考试。,"In accordance with the school's regulations, students who arrive more than ten minutes late will not be permitted to sit the exam."
申请参加会议者，请将您的个人信息发送到此邮箱。,"If you wish to register for the conference, please send your personal details to this email address."
其实，来中国留学一开始并不在我的计划之内。,"To be honest, studying in China wasn't part of my plans to begin with."
我希望在提高中文水平的基础之上，能够学习一些专业知识。,"I hope that, whilst improving my Chinese language skills, I will be able to acquire some specialist knowledge."
我们明天一定完成任务，您放心就是了。,"We'll definitely complete the task tomorrow, so please rest assured."
我开车去学校接你，你在门口等我就是了。,I'll drive to school to pick you up; just wait for me at the entrance.
啊，原来是这么一回事！,"Ah, so that's how it is!"
啊，这么多人排队！,"Oh, there's such a long queue!"
A：八点出发来得及吗？,A: Will we have time if we set off at eight o'clock?
B：嗯，应该来得及。,"B: Hmm, I reckon we'll make it in time."
奶奶把一小盒巧克力装进了孙子的书包里。,Grandma put a small box of chocolates into her grandson's schoolbag.
回国前，我给父母买了两大包中国茶作为礼物。,"Before returning home, I bought two large bags of Chinese tea as a present for my parents."
她说话的声音不大，但是一字一句说得很清楚。,"She didn't speak very loudly, but she enunciated every word clearly."
这会儿路上堵车，一来一回至少需要两个小时。,"There's a traffic jam on the road at the moment, so it'll take at least two hours there and back."
我无儿无女，一人吃饱全家不饿。,"I have no children, so if I'm fed, the whole family is fed."
母亲无日无夜地照顾着生病的孩子。,The mother cared for her sick child day and night.
下课了，同学们有说有笑地走出了教室。,"The lesson was over, and the pupils filed out of the classroom, chatting and laughing."
这部作品的每个人物都写得有血有肉。,Every character in this work is portrayed in a vivid and lifelike manner.
我这两天很忙，没来得及考虑这个问题。,"I've been very busy these past couple of days, so I haven't had a chance to think about this."
我想参加明天的比赛，现在报名来得及吗？,I'd like to take part in tomorrow's competition. Is it still in time to register now?
我发现这个问题时已经太晚了，来不及做出任何改变。,"By the time I realised there was a problem, it was already too late to make any changes."
飞机就要起飞了，你得快一点儿，否则就来不及了。,"The plane is about to take off; you'd better hurry, otherwise you'll miss it."
一次失败并不可怕，以后有的是机会。,One failure is nothing to worry about; there will be plenty of other opportunities in the future.
这种水果我的家乡有的是。,There's plenty of this fruit in my hometown.
客人来不来还说不定。,It's still not certain whether the guests will come or not.
说不定路上堵车，再等一会儿吧。,"There might be traffic on the way, so let's wait a bit longer."
她从来都不怎么关心别人的看法。,She has never really cared much about what other people think.
从检查结果来看，他受的伤不怎么严重。,"Judging by the results of the examination, his injuries are not particularly serious."
他们没有直接拒绝你，而是让你回来等消息，就是说，你还有机会，千万不要放弃。,"They didn't turn you down outright; instead, they asked you to come back and wait to hear from them. This means you still have a chance, so please don't give up."
他总是为自己的错误找各种原因，这就是说，他是一个不愿意负责任的人。,"He is always making all sorts of excuses for his mistakes, which means he is someone who is unwilling to take responsibility."
他的表演一次比一次精彩。,His performances are getting better and better.
最近天气一天比一天暖和。,The weather has been getting warmer day by day recently.
在教育孩子方面，张老师有丰富的经验。,Mr Zhang has a wealth of experience in educating children.
在生活方面，他还不太习惯。,He's still not quite used to life here.
这个房间真够大的，估计能住七八个人。,This room is really quite spacious; I reckon it could sleep seven or eight people.
你男朋友真够浪漫的，每天都给你送一枝花。,Your boyfriend is really romantic – he brings you a single flower every day.
中国各地的生活习惯各不相同，拿吃饭来说，南方人一般喜欢吃米饭，而北方人爱吃面条、馒头等面食。,"Lifestyles vary across China. Take eating habits, for example: people in the south generally prefer rice, whilst those in the north favour noodles, steamed buns and other wheat-based foods."
科技改变了人类的生活，拿交通来说，高铁的出现使人们的日常出行更快、更方便了。,"Technology has transformed people's lives. Take transport, for example: the advent of high-speed rail has made people's daily journeys faster and more convenient."
我保证今后再也不迟到了。,I promise I won't be late again in future.
大学毕业以后，我再也没见过他。,I haven't seen him since I graduated from university.
他们跑了好几家医院，怎么也没查出孩子生病的原因。,"They visited several hospitals, but they simply couldn't find out what was wrong with their child."
尽管每天细心照顾，可阳台上的花怎么都不开。,"Despite tending to them carefully every day, the flowers on the balcony simply won't bloom."
为了梦想而努力的人值得我们学习。,People who strive to achieve their dreams are an inspiration to us all.
