entry,pos,meaning
刺激,动,to provoke; to irritate; to upset; to stimulate; to excite
刺激,名,irritant
存款,动,to deposit money (in a bank etc)
存款,名,bank savings/bank deposit
代,动,to be a substitute for; to act on behalf of; to replace; to substitute
代,名,generation; dynasty; age; period; (historical) era; (geological) eon
代表,名,representative/delegate
代表,动,to represent/to stand for
代表,介,on behalf of/in the name of
单,形,single/sole/odd number
单,副,only
单,名,bill/list/form
当前,动,to be faced with
当前,名,the present time
导演,动,to direct
导演,名,director (film etc)
地下,名,underground
地下,形,subterranean/covert
定期,形,periodic/limited to a fixed period of time
定期,副,at set dates/at regular intervals
定期,名,fixed term
独立,动,to stand alone
独立,形,independent
独立,名,independence
堵,动,"to block up (a road, pipe etc)/to stop up (a hole)"
堵,形,(fig.) (of a person) choked up with anxiety or stress
堵,量,(classifier for walls)
堵,名,wall (literary)
度,量,"degree (angles, temperature etc)/kilowatt-hour/classifier for events and occurrences"
度,名,measure/limit/extent/degree of intensity
度,动,to pass/to spend (time)
短期,名,short term
短期,形,short-term
堆,动,to pile up/to heap up
堆,名,a mass/pile/heap/stack
堆,量,large amount
对比,动,to contrast
对比,名,contrast/ratio
发达,形,well-developed; flourishing
发达,动,to develop; to promote; to expand/(literary) to achieve fame and fortune; to prosper
发明,动,to invent
发明,名,an invention
发言,动,to make a speech
发言,名,statement/utterance
发音,动,to pronounce/to emit sound
发音,名,pronunciation
罚款,动,to fine
罚款,名,penalty/fine (monetary)
反,形,contrary/inside out or upside down/opposite
反,动,to reverse/to return/to oppose/to rebel/to use analogy
反,副,in reverse/instead
反,介,against
反,前缀,anti-
反,名,abbr. for 反切[fan3 qie4] phonetic system
反复,副,repeatedly/over and over
反复,动,to upend/to come and go/(of an illness) to return
反复,形,unstable
反应,动,to react/to respond
反应,名,reaction/response/reply/chemical reaction
方,形,square/upright/honest/fair and square
方,名,"power or involution (math.)/direction/side/party (to a contract, dispute etc)/place/method/prescription (medicine)"
方,副,just when/only or just
方,量,classifier for square things/abbr. for square or cubic meter
分别,动,to part; to leave each other/to distinguish; to tell apart
分别,副,in different ways; differently/separately; individually
分别,名,difference; distinction
纷纷,形,diverse/numerous and confused/pell-mell
纷纷,副,one after another/in succession/one by one/continuously/in profusion
否定,动,to negate/to deny/to reject
否定,形,negative (answer)
否定,名,negation
负担,动,"to bear (an expense, a responsibility etc)"
负担,名,burden
富有,形,rich; wealthy; affluent
富有,动,to be rich in; to be replete with
盖,名,lid/top/cover/canopy
盖,动,to cover/to conceal/to build
概括,动,to summarize; to generalize
概括,副,briefly; in broad outline
刚好,副,just/exactly
刚好,动,to happen to be
高度,名,height/altitude/elevation/high degree
高度,副,highly
个别,副,individually; one by one
个别,形,just one or two; exceptional; rare
根,名,root/basis/radical (chemistry)
根,量,"classifier for long slender objects, e.g. cigarettes, guitar strings"
根本,名,root
根本,形,fundamental/basic
根本,副,simply/absolutely (not)/(not) at all
贡献,动,to contribute/to dedicate/to devote
贡献,名,contribution
构成,动,to constitute/to form/to compose/to make up/to configure (computing)
鼓,名,drum
鼓,动,to drum/to strike/to rouse/to bulge/to swell
怪,形,bewildering/odd/strange/uncanny
怪,动,to wonder at/to blame
怪,副,quite/rather
怪,名,devil/monster
光明,名,light/radiance
光明,形,(fig.) bright (prospects etc)/openhearted
规律,名,rule (e.g. of science)/law of behavior/regular pattern/rhythm/discipline
规则,名,rule; regulation
规则,形,regular; orderly; fixed
哈,拟声,(onom. for laughter)
哈,叹,(interj.) ha!
哈,动,(slang) to be infatuated with; to adore
哈,名,(bound form) husky (dog) (abbr. for 哈士奇[ha1 shi4 qi2])
合影,动,to take a group photo
合影,名,group photo
滑,形,slippery; smooth/sly; slippery; not to be trusted
滑,动,to slip; to slide
化,后缀,-ization/to ... -ize
化,动,to make into/to change into/to transform
化,名,abbr. for 化學|化学[hua4 xue2]
灰,名,ash/dust/lime
灰,形,gray/discouraged; dejected
灰色,名,gray/ash gray/grizzly
灰色,形,pessimistic/gloomy/dispirited/ambiguous
或是,连,or/either one or the other
级,名,level/grade/rank/step (of stairs)
级,量,"classifier: step, level"
集,名,collected works
集,量,classifier for sections of a TV series etc: episode
集,动,to gather/to collect
急诊,动,to give or receive urgent medical treatment
急诊,名,emergency treatment (at a hospital emergency department or from a doctor on a house call)
集中,动,to concentrate/to centralize/to focus/to put together
集中,形,centralized/concentrated
挤,动,to crowd in/to cram in/to force others aside/to press/to squeeze/to find (time in one's busy schedule)
记录,动,to record
记录,名,record (written account)/note-taker/record (in sports etc)
纪念,动,to commemorate; to honor the memory of
纪念,名,memento; keepsake; souvenir
记忆,动,to remember; to recall
记忆,名,memory
架,名,frame/rack/framework
架,动,to support
架,量,"classifier for planes, large vehicles, radios etc"
建筑,动,to construct
建筑,名,building
讲究,动,to pay particular attention to
讲究,形,carefully selected for quality/tastefully chosen
交易,动,to deal; to trade; to transact
交易,名,transaction; deal
较,介,compared to
较,副,(before an adjective) relatively; comparatively; rather
较,动,(bound form) to compare/(literary) to dispute
紧,形,tight/strict/close at hand/near/urgent/tense/hard up/short of money
紧,动,to tighten
进步,动,to improve; to progress
进步,名,progress; improvement
经典,名,the classics/scriptures
经典,形,"classical/classic (example, case etc)/typical"
静,形,still/calm/quiet/not moving
决心,名,determination/resolution
决心,动,to make up one's mind
决心,形,determined/firm and resolute
开放,动,to bloom/to open/to be open (to the public)/to open up (to the outside)
开放,形,to be open-minded/unrestrained by convention/unconstrained in one's sexuality
空中,名,in the sky/in the air
宽,形,wide/broad/loose/relaxed/lenient
来源,名,source (of information etc)/origin
劳动,名,work/toil/physical labor
类,名,kind; type; class; category
类,量,(classifier) kind; type
类,动,(bound form) to resemble; to be similar to
理论,名,theory
理论,动,to argue/to take notice of
力,名,power/force/strength/ability
力,副,strenuously
联合,动,to combine/to join/unite
联合,名,alliance
恋爱,动,to have an affair
恋爱,名,(romantic) love
恋爱,形,in love
临时,副,as the time draws near/at the last moment
临时,形,temporary/interim/ad hoc
领,名,neck/collar
领,动,to lead/to receive
领,量,"classifier for clothes, mats, screens etc"
领导,动,lead/to lead
领导,名,leadership/leader
领导,形,leading
令,动,to order/to command/to cause/to make sth happen
令,名,an order/warrant/writ/honorific title/season/government position (old)/type of short song or poem
令,形,virtuous
留言,动,to leave a message; to leave one's comments
留言,名,message
录音,动,to record sound
录音,名,an audio recording
矛盾,名,contradiction/conflicting views
矛盾,形,contradictory
秘密,形,secret; private; confidential; clandestine
秘密,名,a secret
密切,形,close/familiar/intimate
密切,动,to foster close ties/to pay close attention
密切,副,closely (related)
明确,形,clear-cut; definite; explicit
明确,动,to clarify; to specify; to make definite
模糊,形,vague; indistinct; fuzzy
模糊,动,to blur; to obscure; to confuse; to mix up
闹,形,noisy/cacophonous
闹,动,to make noise/to disturb/to vent (feelings)/to fall ill/to have an attack (of sickness)/to go in (for some activity)/to joke
派,动,to send (a person or resource); to dispatch; to allocate (a resource or task); to appoint (sb)
派,名,"(literary) tributary; branch of a river/clique; school; group; faction/(bound form) style; manner/(loanword) pi (Greek letter Π, π); the circular ratio 𝜋 = 3.14159.../(loanword) pie"
派,量,"classifier for factions, groups etc/(preceded by 一[yi1]) classifier used in characterizing a scene, atmosphere, demeanor, sound, remark etc"
配,动,to join/to fit/to mate/to mix/to match/to deserve/to make up (a prescription)/to allocate
品,动,to taste sth; to sample/to criticize; to comment; to judge; to size up
品,名,(bound form) article; commodity; product; goods/(bound form) grade; rank/kind; type; variety/character; disposition; nature; temperament/fret (on a guitar or lute)
平,形,flat/level/equal/calm/peaceful
平,动,to tie (make the same score)/to draw (score)
平,名,abbr. for 平聲|平声[ping2 sheng1]
凭,动,to lean against/to rely on
凭,介,on the basis of
凭,连,"no matter (how, what etc)"
凭,名,proof
平衡,名,balance/equilibrium
评价,动,to evaluate/to assess
平均,形,average; on average
平均,副,evenly; in equal proportions
齐,形,neat/even/level with/identical/simultaneous
齐,动,to even sth out
齐,副,all together
签名,动,to sign (one's name with a pen etc)/to autograph
签名,名,signature
签字,动,to sign (one's name)
签字,名,signature
亲,形,one's own (flesh and blood)/related/close/intimate/in favor of
亲,动,to kiss
亲,名,parent/relative/marriage/bride/(Internet slang) dear
亲,副,in person/first-hand
亲,前缀,pro-
轻易,形,easy; simple
轻易,副,rashly; offhandedly
请求,动,to request; to ask
请求,名,request
权,名,authority/power/right
权,副,temporary
权,动,(literary) to weigh
权,形,expedient
全力,名,full strength
全力,副,with all one's strength/fully (support)
全力,形,all-out (effort)
确定,形,definite/certain/fixed
确定,动,to fix (on sth)/to determine/to be sure/to ensure/to make certain/to ascertain/to clinch/to recognize/to confirm
确定,名,OK (on computer dialog box)
群,量,"flock, herd, pack etc"
群,名,group/crowd
人工,形,artificial
人工,名,manpower/manual work
如,动,as
如,连,as if/such as
伤,名,injury/wound
伤,动,to injure
烧,动,"to burn/to cook/to stew/to bake/to roast/to heat/to boil (tea, water etc)/to run a temperature/(coll.) to let things go to one's head"
烧,名,fever
设计,动,to design; to plan
设计,名,design; plan
深度,名,depth/(of a speech etc) profundity
深度,形,advanced stage of development
深入,动,to penetrate deeply
深入,形,thorough
失误,动,to make a mistake
失误,名,"lapse/mistake/fault/service fault (in volleyball, tennis etc)"
时刻,名,time/juncture/moment/period of time
时刻,副,constantly/always
实验,动,to experiment
实验,名,experiment/test
实验,形,experimental
始终,名,from beginning to end
始终,副,all along
收获,动,to harvest/to reap/to gain
收获,名,crop/harvest/profit/gain/bonus/reward
手术,名,(surgical) operation/surgery
顺,动,to obey/to follow/to arrange/to make reasonable
顺,介,along
顺,形,favorable
说不定,动,can't say for sure
说不定,副,maybe
思维,名,(line of) thought/thinking
碎,动,(transitive or intransitive) to break into pieces; to shatter; to crumble
碎,形,broken; fragmentary; scattered/garrulous
损失,动,to lose/to suffer damage
损失,名,loss/damage
所1,量,"classifier for houses, small buildings, institutions etc"
所1,名,place
所1,副,actually
锁,名,a lock
锁,动,to lock; to lock up
套,名,"cover/sheath/formula/harness/loop of rope/bend (of a river or mountain range, in place names)/tau (Greek letter Ττ)"
套,动,to cover/to encase/to overlap/to interleave/to model after/to copy/(fig.) to fish for/to obtain slyly
套,量,"classifier for sets, collections"
体会,动,to know from experience/to learn through experience/to realize
体会,名,understanding/experience
替,动,to substitute for/to take the place of/to replace/to stand in for
替,介,for/on behalf of
通常,形,regular; usual; normal
通常,副,usually; normally
同,形,like/same/similar/alike
同,副,together
同,介,with
统一,动,to unify; to integrate
统一,形,unified; integrated
投入,动,to throw into/to put into/to throw oneself into/to participate in/to invest in
投入,形,absorbed/engrossed
突出,动,to give prominence to/to protrude/to project
突出,形,prominent/outstanding
团,动,to roll into a ball/to gather
团,名,lump/ball/regiment/group/society
团,量,"classifier for a lump or a soft mass: wad (of paper), ball (of wool), cloud (of smoke)"
团,形,round
弯,形,bent
弯,动,to bend
弯,名,a bend; a turn (in a road etc)
完善,形,"(of systems, facilities etc) comprehensive/well-developed/excellent"
完善,动,to refine/to improve
万一,名,contingency
万一,连,just in case/if by any chance
微笑,动,to smile
微笑,名,smile
未来,形,approaching/coming/pending
未来,名,future/tomorrow
稳定,形,steady/stable
稳定,动,to stabilize/to pacify
稳定,名,stability
无奈,动,to have no alternative
无奈,连,(conjunction) but unfortunately
无奈,形,frustrated/exasperated/helpless
先后,名,early or late; first and last; priority
先后,副,in succession; one after another
先进,形,sophisticated; advanced (technology etc)/meritorious; exemplary (deeds etc)
现代,名,modern times/modern age/modern era
现实,名,reality; actuality
现实,形,real; actual/realistic; pragmatic; materialistic; self-interested
限制,动,to restrict/to limit/to confine
限制,名,restriction/limit
相当,动,equivalent to
相当,副,considerably/to a certain extent/fairly/quite
相当,形,appropriate
相对,动,to resist/to oppose
相对,形,opposite/relative
相对,副,relatively
相对,介,vis-a-vis
相对,名,counterpart
象征,动,to symbolize/to signify/to stand for
象征,名,emblem/symbol/token/badge
斜,形,inclined/slanting/oblique/tilting
协议,名,agreement/pact/protocol
行动,动,to move about
行动,名,operation/action
行动,形,mobile
形象,名,image/form/figure/visualization
形象,形,vivid
幸运,名,good fortune; luck
幸运,形,fortunate; lucky
沿,介,along
沿,动,"to follow (a line, tradition etc)/to carry on/to trim (a border with braid, tape etc)"
沿,名,border/edge
严肃,形,(of an atmosphere etc) solemn; grave; serious/(of a manner etc) earnest; severe; exacting
严肃,动,to strictly enforce
眼,名,eye/(often used with 一[yi1]) a look; a glance/small hole/(bound form) salient point
眼,量,"classifier for wells, cave-dwellings etc"
依据,名,basis/foundation
依据,介,according to
遗憾,名,regret
遗憾,动,to regret/to be sorry that
一路,名,the whole journey
一路,副,all the way
一路,形,going the same way/going in the same direction/of the same kind
一致,形,consistent; unanimous; in agreement
一致,副,together; in unison
以,介,by means of/according to/because of/at (a certain date or place)
以,连,in order to
以,动,to use
意识,动,(usu. followed by 到[dao4]) to be aware of; to realize
意识,名,consciousness; awareness
意外,形,unexpected
意外,名,accident/mishap
义务,名,duty; obligation
义务,形,volunteer (work etc)
硬,形,hard; stiff; solid/(fig.) strong; firm/good (quality); able (person)/(of food) filling; substantial
硬,副,resolutely; uncompromisingly/laboriously; with great difficulty
应用,动,to put to use; to apply
应用,形,"practical; applied (science, linguistics etc)"
应用,名,application; practical use/(computing) app
娱乐,动,to entertain/to amuse
娱乐,名,entertainment/recreation/amusement/hobby/fun/joy
圆,名,circle/unit of Chinese currency (yuan)
圆,形,round/circular/spherical/(of the moon) full/tactful
圆,动,to make consistent and whole (the narrative of a dream or a lie)
早晚,名,"morning and evening/(coll.) (this, or that) point of time"
早晚,副,(in reference to sth that is bound to happen) sooner or later; one of these days/(dialect) at some time in the future
直,形,straight/fair and reasonable/frank/straightforward/vertical
直,动,to straighten
直,副,(indicates continuing motion or action)
直,名,vertical downward stroke in Chinese characters
执行,动,to implement/to carry out/to execute/to run
智能,形,"intelligent/able/smart (phone, system, bomb etc)"
装饰,动,to decorate
装饰,名,decoration
装饰,形,decorative/ornamental
自动,副,voluntarily
自动,形,automatic
自觉,动,to realize; to be aware of; to feel that; to be conscious of (sth relating to oneself)
自觉,形,responsible; predisposed to do the right thing; considerate of others
自由,形,free; unrestricted
自由,名,freedom; liberty
组合,动,to assemble; to combine; to compose
组合,名,combination; association; set; compilation
组合,形,(math.) combinatorial
组织,动,to organize
组织,名,organization/(biology) tissue/(textiles) weave
尊敬,动,to respect; to revere; to esteem
尊敬,形,honorable; distinguished (used on formal occasions before a term of address)
版,名,a register/block of printing/edition/version/page
保障,动,to ensure/to guarantee/to safeguard
编辑,动,to edit/to compile
编辑,名,editor/compiler
遍地,副,everywhere/all over
补贴,动,to subsidize/to supplement (one's salary etc)
补贴,名,subsidy/allowance/benefit
不成,动,unable to
不成,形,won't do
不成,助,(at the end of a rhetorical question) can that be?
不时,副,from time to time/now and then/occasionally/frequently
不止,动,more than/not limited to
不止,副,incessantly/without end
采购,动,to procure (for an enterprise etc)/to purchase
侧,名,the side/side
侧,动,to incline towards/to lean
侧,形,inclined/lateral
叉,名,"fork/pitchfork/prong/pick/""X"""
叉,动,cross/intersect
常规,名,code of conduct; conventions; common practice
常规,形,routine (medical procedure etc)
常年,副,all year round/for years on end
常年,名,average year
称呼,动,to call; to address as
称呼,名,form of address; appellation
尺,量,a Chinese foot/one-third of a meter
尺,名,a ruler/a tape-measure/one of the three acupoints for measuring pulse in Chinese medicine
冲动,名,impulse/urge
冲动,动,to have an urge/to be impetuous
充实,形,rich/full/substantial
充实,动,to enrich/to augment/to substantiate (an argument)
除,动,to get rid of/to remove/to exclude/to eliminate/to wipe out/to divide
除,介,except/not including
储蓄,动,to save money (in a bank)
储蓄,名,savings
串,名,string/bunch/skewer
串,量,"classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of"
串,动,to string together/to skewer/to connect wrongly/to gang up/to rove/to make a swift or abrupt linear movement (like a bead on an abacus)/to move across
创意,名,creativity
创意,形,creative
纯,形,pure/simple/unmixed/genuine
刺,动,to prick/to pierce/to stab/to assassinate/to murder
刺,名,thorn/sting/thrust
搭配,动,to pair up/to match/to arrange in pairs/to add sth into a group
贷款,动,to provide a loan (e.g. bank)/to raise a loan (from e.g. a bank)
贷款,名,a loan
当下,名,at that moment/at the moment
当下,副,immediately/at once
道德,名,virtue/morality/ethics
得了,助,all right!/that's enough!
滴,动,to drip/to let drip; to apply (eye drops etc)
滴,量,classifier for drops of liquid
滴,名,(bound form) a drop (of liquid)
典型,名,model/typical case/archetype
典型,形,typical/representative
顶,名,apex/crown of the head/top/roof
顶,动,"to carry on the head/to push to the top/to go against/to replace/to substitute/to be subjected to (an aerial bombing, hailstorm etc)/(slang) to ""bump"" a forum thread to raise its profile"
顶,量,"classifier for headwear, hats, veils etc"
顶,副,most
定价,动,to set a price/to fix a price
定时,动,to fix a time
定时,名,fixed time
定时,形,timed (of explosive etc)
定位,动,to orientate/to position/to categorize (as)/to characterize (as)
定位,名,positioning/position/niche
定义,名,definition
定义,动,to define
动态,名,movement/motion/development/trend
动态,形,dynamic (science)
逗,动,to tease (playfully); to entice/(coll.) to joke/to stay; to sojourn
逗,形,(coll.) funny; amusing
逗,名,brief pause at the end of a phrase (variant of 讀|读[dou4])
斗争,名,a struggle/fight/battle
毒,名,poison/narcotics
毒,动,to poison
毒,形,poisonous/malicious/cruel/fierce
多余,形,superfluous/unnecessary/surplus
恶心,形,nauseating
恶心,动,to feel sick/to embarrass (deliberately)
恶心,名,nausea/disgust/bad habit/vicious habit/vice
肥,形,fat/fertile/loose-fitting or large
肥,动,to fertilize/to become rich by illegal means
肥,名,fertilizer/manure
分散,动,to scatter/to disperse/to distribute
粉,名,powder/cosmetic face powder/food prepared from starch; noodles or pasta made from any kind of flour
粉,形,white/pink
粉,动,to turn to powder/(dialect) to whitewash/to be a fan of
粉,后缀,(suffix) fan (abbr. for 粉絲|粉丝[fen3 si1])
福利,名,material benefit/benefit in kind/(social) welfare
辅助,动,to assist; to aid
辅助,形,supplementary; auxiliary
干脆,形,candid/direct and to the point
干脆,副,simply/just/might as well
高层,名,high-rise
高层,形,high level; high class
革命,动,to withdraw the mandate of heaven (and transition to a new dynasty) (original meaning)/to revolt (against sb or sth)/to revolutionize (sth)/(separable verb sometimes used in the pattern 革noun的命)
革命,形,revolutionary
革命,名,revolution
公告,名,post/announcement
公开,形,open; overt; public
公开,动,to make public; to release
巩固,形,firm; solid; stable
巩固,动,to consolidate; to strengthen
归,动,to return/to go back to/to give back to/(of a responsibility) to be taken care of by/to belong to/to gather together/to marry (of a woman) (old)
归,连,(used between two identical verbs) despite
归,名,division on the abacus with a one-digit divisor
规范,名,norm/standard/specification/regulation/rule
规范,形,within the rules
规范,动,to fix rules/to regulate/to specify
规划,名,a plan; a program
规划,动,to draw up a plan; to map out a program
规矩,名,lit. compass and set square/fig. established standard/rule/customs/practices
规矩,形,fig. upright and honest/well-behaved
过时,动,to be later than the time stipulated or agreed upon
过时,形,old-fashioned/out of date
害,名,harm/evil/calamity
害,动,to do harm to/to cause trouble to
狠,形,ruthless; fierce; ferocious/determined; resolute
狠,动,to harden (one's heart)
狠,副,old variant of 很[hen3]
横,形,horizontal/across/crosswise/in a jumble/chaotic/(in fixed expressions) harsh and unreasonable/violent
横,动,"to place (sth) flat (on a surface)/to cross (a river, etc)"
横,名,horizontal stroke (in Chinese characters)
怀,名,bosom/heart/mind
怀,动,to think of/to harbor in one's mind/to conceive (a child)
环,名,ring/hoop/loop/(chain) link
环,量,classifier for scores in archery etc
环,动,to surround/to encircle/to hem in
幻想,动,to fantasize; to imagine
幻想,名,an illusion; a fantasy
回头,动,to turn round; to turn one's head
回头,副,later; by and by
汇款,动,to remit money
汇款,名,remittance
混,动,to mix/to mingle/to drift along/to muddle along/to pass for/to get along with sb
混,形,muddled/thoughtless/reckless
活跃,形,active/lively/excited
活跃,动,to enliven/to brighten up
机械,名,machine/machinery
机械,形,mechanical/(old) cunning/scheming
加倍,动,to double/to redouble
加以,动,"(used before a disyllabic verb to indicate that the action of the verb is applied to sth or sb previously mentioned)/to apply (restrictions etc) to (sb)/to give (support, consideration etc) to (sth)"
加以,连,in addition/moreover
假设,动,to suppose/to presume/to assume
假设,名,hypothesis/conjecture
假设,连,supposing that .../if
尖,形,"pointed; tapering; sharp/(of a sound) shrill; piercing/(of one's hearing, sight etc) sharp; acute; keen"
尖,名,sharp point; tip/the best of sth; the cream of the crop
尖,动,to make (one's voice) shrill
坚定,形,firm/steady/staunch/resolute
兼职,动,to hold concurrent posts
兼职,名,concurrent job/moonlighting
简介,名,summary/brief introduction
间隔,名,gap/interval/compartment
间隔,动,"to divide/to separate/to leave a gap of (two weeks, three meters etc)"
健全,形,robust/sound
酱,名,thick paste of fermented soybean/paste/jam
酱,动,marinated in soy paste
教训,动,to provide guidance; to lecture sb; to upbraid
教训,名,a talking-to; a bitter lesson
接连,副,on end/in a row/in succession
结尾,动,to wind up
结尾,名,ending/coda
净,形,"clean/net (income, exports etc)"
净,副,completely/only
净,名,(Chinese opera) painted face male role
捐款,动,to donate money/to contribute funds
捐款,名,donation/contribution (of money)
决策,动,to determine policy
决策,名,strategic decision/decision-making/policy decision
开头,动,to start
开头,名,beginning
考古,动,to engage in archaeological studies
考古,名,archaeology
可怜,形,pitiful/pathetic
可怜,动,to have pity on
空闲,形,"(of a person) free; unoccupied/(of equipment, rooms etc) unused; idle; vacant"
空闲,名,leisure; spare time
口头,形,oral/verbal
扣,动,"to fasten/to button/to arrest/to confiscate/to deduct (money)/to knock/to smash, spike or dunk (a ball)/to cover (with a bowl etc)/(fig.) to tag a label on sb"
扣,名,button/buckle/knot/discount/(Tw) (loanword) code
款,名,section/paragraph/funds
款,量,classifier for versions or models (of a product)
赖,形,bad/rascally
赖,动,to depend on/to hang on in a place/to renege (on promise)/to disclaim/to rat (on debts)/to blame/to put the blame on
牢,名,fold (for animals)/sacrifice/prison
牢,形,firm/sturdy
理,名,texture/grain (of wood)/inner essence/intrinsic order/reason/logic/truth/science/natural science (esp. physics)
理,动,to manage/to pay attention to/to run (affairs)/to handle/to put in order/to tidy up
理性,形,rational
理性,名,reason/rationality
粒,名,grain; granule; pellet; particle
粒,量,"classifier for small round objects (peas, bullets, peanuts, pills, grains etc)/(Tw) classifier for larger round objects (watermelon etc)"
例外,动,to be an exception
例外,名,exception
录像,动,to videotape/to videorecord
录像,名,video recording
轮,名,wheel; disk; ring/steamship
轮,动,to take turns; to rotate
轮,量,"classifier for big round objects: disk, or recurring events: round, turn"
落后,动,to fall behind/to lag (in technology etc)/to retrogress
落后,形,backward
密集,形,concentrated/crowded together/intensive/compressed
勉强,形,reluctant/barely enough
勉强,动,to do with difficulty/to force sb to do sth
民主,名,democracy
民主,形,democratic
命令,名,order/command
暖,形,warm
暖,动,to warm
盘,量,"classifier for things resembling a plate or dish/classifier for coils/classifier for games or matches (chess, table tennis etc)"
盘,动,"to coil (a rope, pigtail etc)/to check; to examine; to investigate/to transfer; to sell (property)/to shift; to move (sth big and heavy)"
盘,名,tray; plate; dish/(finance) (bound form) market prices/(computing) (bound form) disk
泡,名,bubble; foam/blister
泡,动,to soak; to steep; to infuse/to dawdle; to loiter/to pick up (a girl)/to get off with (a sexual partner)
泡,量,classifier for occurrences of an action/classifier for number of infusions
配备,动,to allocate/to provide/to outfit with
捧,动,to hold or offer with both hands/to sing the praises of
捧,量,classifier for what can be held in both hands
皮,名,skin; peel; rind; outer layer/leather; hide; fur/cover; wrapping; outer covering
皮,形,(of food) no longer crisp; soggy/(coll.) naughty; mischievous
皮,前缀,pico- (10⁻¹²)
飘,动,to float (in the air); to flutter; to waft
飘,形,complacent; frivolous/weak; shaky; wobbly
评论,动,to comment on/to discuss
评论,名,comment/commentary
坡,名,slope
坡,形,sloping/slanted
启示,动,to reveal/to enlighten
启示,名,enlightenment/revelation/illumination/moral (of a story etc)/lesson
起源,动,to originate/to come from
起源,名,origin
谦虚,形,modest/self-effacing
谦虚,动,to make modest remarks
强壮,形,strong/sturdy/robust
清,形,(of water etc) clear; clean/quiet; still/pure; uncorrupted/clear; distinct
清,动,to clear; to settle (accounts)
倾向,名,trend/tendency/orientation
清醒,形,clear-headed/sober/awake
入门,动,to enter a door/to learn the basics of a subject; introduction (to a subject); (attributive) entry-level
入门,名,entrance door
塞,动,to plug; to stop up; to stuff in
塞,名,(bound form) a stopper; a cork
刹车,动,to brake (when driving)/to stop/to switch off/to check (bad habits)
刹车,名,a brake
伤亡,名,casualties/injuries and deaths
神,名,god; deity/spirit; mind; energy/look; expression
神,形,supernatural; magical; mysterious/lively; expressive/(coll.) awesome; amazing
实惠,名,tangible benefit/material advantages
实惠,形,cheap/economical/advantageous (deal)/substantial (discount)
时尚,名,fashion/fad
时尚,形,fashionable
竖,形,vertical
竖,动,to erect
竖,名,vertical stroke (in Chinese characters)
松,形,loose
松,动,to loosen/to relax
松,名,"floss (dry, fluffy food product made from shredded, seasoned meat or fish, used as a topping or filling)"
算了,助,let it be/let it pass/forget about it
算是,动,considered to be
算是,副,at last
烫,动,to scald/to burn (by scalding)/to blanch (cooking)/to heat (sth) up in hot water/to perm/to iron
烫,形,scalding hot
贴近,动,to press close to/to snuggle close
贴近,形,intimate
同行,名,person of the same profession
同行,形,"of the same trade, occupation or industry"
同类,形,similar/alike
同类,名,same type
偷,动,to steal/to pilfer/to snatch
偷,副,stealthily
偷,名,thief
投资,动,to invest
投资,名,investment
透,动,(bound form) to penetrate; to seep through/to tell secretly; to leak/to appear; to show
透,副,thoroughly; through and through
团结,动,to unite
团结,形,united
团结,名,unity; solidarity
网,名,net; web/network
网,动,to net; to catch with a net
为难,动,to feel embarrassed or awkward/to make things difficult (for someone)/to find things difficult (to do or manage)
委屈,动,to feel wronged/to cause sb to feel wronged
委屈,名,grievance
文明,名,civilization/culture
文明,形,civilized
误解,动,to misunderstand
误解,名,misunderstanding
显,形,prominent/conspicuous
显,动,to make visible/to reveal
显,前缀,(prefix) phanero-
险,形,dangerous/rugged
险,名,danger
线,名,thread/string/wire/line
线,量,(after a number) tier (unofficial ranking of a Chinese city)
协调,形,harmonious/concerted
协调,动,to coordinate/to harmonize/to fit together/to match (colors etc)
眼看,副,soon/in a moment
眼看,动,to look on as sth happens
依旧,动,to remain the same
依旧,副,as before; still
疑惑,动,to doubt/to distrust/to puzzle over
疑惑,名,misgivings/suspicions
疑惑,形,unconvincing
移民,动,to immigrate/to migrate
移民,名,emigrant/immigrant
异常,形,unusual; abnormal
异常,副,extremely; exceptionally
议论,动,to comment/to talk about/to discuss
议论,名,discussion
一时,名,a period of time/a while
一时,副,for a short while/at the same time
一时,形,temporary/momentary
因,连,because
因,名,cause/reason
印,名,a seal/a print/a stamp/a mark/a trace/image
印,动,to print/to mark/to engrave
拥挤,动,to throng
拥挤,形,crowded
拥挤,名,congestion
用功,动,to study hard/to make great effort
用功,形,diligent/industrious (in one's studies)
有劲,形,vigorous; energetic/interesting; amusing
预料,动,to forecast/to anticipate
预料,名,expectation
晕,形,confused/dizzy/giddy
晕,动,to faint/to swoon/to lose consciousness/to pass out
遭遇,动,to meet with/to encounter
遭遇,名,(bitter) experience
造型,动,to model; to shape
造型,名,appearance; style; design; form; pose
则1,连,(literary) (conjunction used to express contrast with a previous clause) but; then
则1,名,(bound form) standard; norm/(bound form) principle
则1,动,(literary) to imitate; to follow
战斗,名,struggle/battle
战斗,动,to fight/to engage in combat
障碍,名,barrier/obstruction/hindrance/impediment/obstacle
镇,动,to press down/to calm/to subdue/to suppress/to guard/to cool or chill (food or drinks)
镇,名,garrison/small town
正面,名,front/obverse side/right side
正面,形,positive/direct/open
正义,名,justice/righteousness
正义,形,just/righteous
枝,名,branch
枝,量,"classifier for sticks, rods, pencils etc"
支出,动,to spend; to pay out
支出,名,expenses; expenditure
指挥,动,to conduct/to command/to direct
